name,slug,brand,category,subcategory,ram,storage,cash_price,deposit,weekly_installment,stock_quantity,is_active,image_urls,cloudinary_public_ids,description,full_details
INFINIX HOT 70,infinix-hot-70-6gb-256gb,Infinix,Phone,Smartphone,6GB,256GB,26700,2600,1015,0,TRUE,"[""https://res.cloudinary.com/el6nseiu/image/upload/v1785434636/Infinix-Hot-70_akwdj0.webp""]","[""Infinix-Hot-70_akwdj0""]","The Infinix Hot 70 pairs a large 6.78-inch 120Hz IPS LCD display with the MediaTek Helio G100 Ultimate chipset, up to 8GB of RAM, and up to 256GB of expandable storage. Its standout feature is a 6,000mAh battery with 45W fast charging that comfortably lasts up to two days on moderate use, backed by IP65 water and dust resistance.","{""display"": ""6.78\"" IPS LCD"", ""display_resolution"": ""720 x 1576 px (HD+), 120Hz"", ""processor"": ""MediaTek Helio G100 Ultimate, Octa-core"", ""operating_system"": ""Android 16 (XOS 16)"", ""rear_camera"": ""50MP (f/1.85) main + auxiliary lens"", ""front_camera"": ""8MP"", ""battery"": ""6000mAh, 45W wired + 10W reverse wired charging"", ""network"": ""4G"", ""colors"": ""Thermo Orange, Quiet Violet, Green Texture, Night Pulse, Silver Dancer, Dive Blue""}"
INFINIX HOT 50 PRO PLUS,infinix-hot-50-pro-plus-8gb-256gb,Infinix,Phone,Smartphone,8GB,256GB,25950,2600,1015,0,TRUE,"[""https://res.cloudinary.com/el6nseiu/image/upload/v1785759642/Infinix-Hot-50-Pro-Plus_vacno0.jpg"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961175/Infinix-Hot-50-Pro-Plus1_akqmh0.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961174/Infinix-Hot-50-Pro-Plus-Aa_ni9lbg.jpg""]","[""Infinix-Hot-50-Pro-Plus_vacno0"", ""Infinix-Hot-50-Pro-Plus1_akqmh0"", ""Infinix-Hot-50-Pro-Plus-Aa_ni9lbg""]","The Infinix Hot 50 Pro+ is known for its ultra-slim, curved AMOLED design, packing a 6.78-inch 120Hz FHD+ display with up to 1,300 nits peak brightness into a light 162g body. It runs on the MediaTek Helio G100 chipset with up to 8GB RAM, a 50MP main camera, and a 5000mAh battery, all wrapped in an IP54-rated frame with Gorilla Glass protection.","{""display"": ""6.78\"" AMOLED (3D-curved)"", ""display_resolution"": ""1080 x 2436 px (FHD+), 120Hz"", ""processor"": ""MediaTek Helio G100 (6nm), Octa-core (2x2.2GHz Cortex-A76 + 6x2.0GHz Cortex-A55)"", ""operating_system"": ""Android 14 (XOS 14.5)"", ""rear_camera"": ""50MP (f/1.6) main + 2MP depth sensor"", ""front_camera"": ""13MP"", ""battery"": ""5000mAh, 33W wired + 10W reverse wired charging"", ""network"": ""4G"", ""colors"": ""Sleek Black, Titanium Grey, Dreamy Purple, Blossom Pink""}"
INFINIX NOTE EDGE,infinix-note-edge-8gb-256gb,Infinix,Phone,Smartphone,8GB,256GB,36700,3600,1365,0,TRUE,"[""https://res.cloudinary.com/el6nseiu/image/upload/v1785434635/Infinix-Note-Edge_tlcaxp.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961173/Infinix-Note-Edge-a_sw2mfw.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961170/Infinix-Noted-Edge-c_qlm5xt.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961170/Infinix-Note-Edge-2_srpydi.webp""]","[""Infinix-Note-Edge_tlcaxp"", ""Infinix-Note-Edge-a_sw2mfw"", ""Infinix-Noted-Edge-c_qlm5xt"", ""Infinix-Note-Edge-2_srpydi""]","The Infinix Note Edge is a slim, ergonomic smartphone built around a 6.78-inch curved AMOLED display with up to 4,500 nits peak brightness and a 120Hz refresh rate. Powered by the MediaTek Dimensity 7100 chipset with 8GB RAM, it packs a 6,500mAh battery with 45W charging and a 50MP main camera in a body just 7.2mm thick.","{""display"": ""6.78\"" AMOLED (curved)"", ""display_resolution"": ""1208 x 2644 px (1.5K), 120Hz"", ""processor"": ""MediaTek Dimensity 7100 (6nm), Octa-core (4x2.4GHz Cortex-A78 + 4x2.0GHz Cortex-A55)"", ""operating_system"": ""Android 16 (XOS 16)"", ""rear_camera"": ""50MP (f/1.8)"", ""front_camera"": ""13MP"", ""battery"": ""6500mAh Silicon-Carbon, 45W wired + 10W reverse wired charging"", ""network"": ""4G/5G"", ""colors"": ""Lunar Titanium, Silk Green, Stellar Blue, Shadow Black""}"
INFINIX HOT 60 PRO PLUS,infinix-hot-60-pro-plus-8gb-256gb,Infinix,Phone,Smartphone,8GB,256GB,27450,2700,1050,0,TRUE,"[""https://res.cloudinary.com/el6nseiu/image/upload/v1785759635/Infinix-Hot-60-Pro-Plus_q8l7ul.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961170/Infinix-Hot-60-Pro-Plus-c-1_tsitn4.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961170/Infinix-Hot-60-Pro-Plus-a_pgui15.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961169/Infinix-Hot-60-Pro-Plus_evqpte.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961163/Infinix-Hot-60-Pro-Plus-d_m8dw1b.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961163/Infinix-Hot-60-Pro-Plus_1_zpxavq.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961162/Infinix-Hot-60-Pro-Plus-a_1_qgkckl.webp""]","[""Infinix-Hot-60-Pro-Plus_q8l7ul"", ""Infinix-Hot-60-Pro-Plus-c-1_tsitn4"", ""Infinix-Hot-60-Pro-Plus-a_pgui15"", ""Infinix-Hot-60-Pro-Plus_evqpte"", ""Infinix-Hot-60-Pro-Plus-d_m8dw1b"", ""Infinix-Hot-60-Pro-Plus_1_zpxavq"", ""Infinix-Hot-60-Pro-Plus-a_1_qgkckl""]","Marketed as one of the world's slimmest curved-display phones, the Infinix Hot 60 Pro+ measures around 6-6.8mm thick and weighs roughly 155-162g. It features a 1.5K 144Hz AMOLED curved display, the MediaTek Helio G200 chipset, a 50MP Sony IMX882 camera, and a 5,160mAh battery, all housed in a durable IP65-rated fibreglass-and-glass build.","{""display"": ""6.78\"" AMOLED (3D-curved)"", ""display_resolution"": ""1224 x 2720 px (1.5K), 144Hz"", ""processor"": ""MediaTek Helio G200 (6nm), Octa-core"", ""operating_system"": ""Android 15 (XOS 15.1)"", ""rear_camera"": ""50MP Sony IMX882 (f/1.6) + auxiliary lenses"", ""front_camera"": ""13MP"", ""battery"": ""5160mAh, 45W wired charging"", ""network"": ""4G"", ""colors"": ""Sleek Black, Titanium Silver, Coral Tides, Misty Violet, Sonic Yellow, Moco Cyber Green""}"
INFINIX HOT 70 PRO,infinix-hot-70-pro-8gb-256gb,Infinix,Phone,Smartphone,8GB,256GB,38600,3700,1435,0,TRUE,"[""https://res.cloudinary.com/el6nseiu/image/upload/v1785434636/Infinix-Hot-70-Pro_vc6ak9.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961178/Infinix-Hot-70-Pro-5G-b_fenwgd.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961176/Infinix-Hot-70-Pro-5G-w_ackp0d.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961175/Infinix-Hot-70-Pro-5G-g_jllezz.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961175/Infinix-Hot-70-Pro-5G-p_e9rrnh.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961174/Infinix-Hot-70-Pro-5G-gd_yqblmj.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961168/Infinix-Hot-70-Pro-5G-b_1_nvqd7i.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961164/Infinix-Hot-70-Pro-5G-bl_trfpd3.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961164/Infinix-Hot-70-Pro-5G-g_1_yieowl.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961164/Infinix-Hot-70-Pro-5G-p_1_q3qjzz.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961164/Infinix-Hot-70-Pro-5G-gd_1_g1ts6h.webp""]","[""Infinix-Hot-70-Pro_vc6ak9"", ""Infinix-Hot-70-Pro-5G-b_fenwgd"", ""Infinix-Hot-70-Pro-5G-w_ackp0d"", ""Infinix-Hot-70-Pro-5G-g_jllezz"", ""Infinix-Hot-70-Pro-5G-p_e9rrnh"", ""Infinix-Hot-70-Pro-5G-gd_yqblmj"", ""Infinix-Hot-70-Pro-5G-b_1_nvqd7i"", ""Infinix-Hot-70-Pro-5G-bl_trfpd3"", ""Infinix-Hot-70-Pro-5G-g_1_yieowl"", ""Infinix-Hot-70-Pro-5G-p_1_q3qjzz"", ""Infinix-Hot-70-Pro-5G-gd_1_g1ts6h""]","The Infinix Hot 70 Pro 5G brings a 6.76-inch 144Hz FHD+ IPS LCD display, the 5G-capable MediaTek Dimensity 7100 chipset, and up to 8GB RAM with 256GB storage to Infinix's budget lineup. It's built around a 6,000mAh self-healing battery with 45W charging, a 50MP Sony IMX882 camera, and IP68 water resistance, with a unique Dot Matrix rear display for notifications.","{""display"": ""6.76\"" IPS LCD (adaptive refresh)"", ""display_resolution"": ""1080 x 2436 px (FHD+), up to 144Hz"", ""processor"": ""MediaTek Dimensity 7100 (6nm), Octa-core (4x Cortex-A78 + 4x Cortex-A75)"", ""operating_system"": ""Android 16 (XOS 16)"", ""rear_camera"": ""50MP Sony IMX882 (f/1.95)"", ""front_camera"": ""8MP"", ""battery"": ""6000mAh (5600mAh in some markets), 45W wired charging"", ""network"": ""4G/5G"", ""colors"": ""Thermo Orange, Mirage Green, Silk Glow Purple, Depth Ring White, Night Pulse, Dive Blue""}"
INFINIX NOTE 60 PRO,infinix-note-60-pro-8gb-256gb,Infinix,Phone,Smartphone,8GB,256GB,43200,4200,1575,0,TRUE,"[""https://res.cloudinary.com/el6nseiu/image/upload/v1785434635/Infinix-Note-60-Pro_ndr6kt.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961164/Infinix-Note-60-Pro-5G_v27ui2.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961164/Infinix-Note-60-Pro-b_irrfij.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961163/Infinix-Note-60-Pro-c_wmkvip.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961163/Infinix-Note-60-Pro-d_fauuof.webp""]","[""Infinix-Note-60-Pro_ndr6kt"", ""Infinix-Note-60-Pro-5G_v27ui2"", ""Infinix-Note-60-Pro-b_irrfij"", ""Infinix-Note-60-Pro-c_wmkvip"", ""Infinix-Note-60-Pro-d_fauuof""]","The Infinix Note 60 Pro is a premium mid-ranger with a 6.78-inch 144Hz AMOLED display (up to 4,500 nits), an aluminum unibody, and JBL-tuned stereo speakers. It's powered by the Snapdragon 7s Gen 4 chipset with up to 12GB RAM, a 50MP OIS main camera, and a 6,500mAh battery supporting 90W wired and 30W wireless charging.","{""display"": ""6.78\"" AMOLED (3D-curved)"", ""display_resolution"": ""1208 x 2644 px (1.5K), 144Hz"", ""processor"": ""Qualcomm Snapdragon 7s Gen 4 (4nm), Octa-core"", ""operating_system"": ""Android 16 (XOS 16)"", ""rear_camera"": ""50MP (f/1.6, OIS) + 8MP ultrawide"", ""front_camera"": ""13MP"", ""battery"": ""6500mAh, 90W wired + 30W wireless charging"", ""network"": ""4G/5G"", ""colors"": ""Mist Titanium, Solar Orange, Deep Ocean Blue, Mocha Brown, Frost Silver, Torino Black""}"
INFINIX SMART 10,infinix-smart-10-3gb-64gb,Infinix,Phone,Smartphone,3GB,64GB,10300,1100,455,0,TRUE,"[""https://res.cloudinary.com/el6nseiu/image/upload/v1785759633/Infinix-Smart-10-Plus_vsqvp8.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961163/Infinix-Smart-10-c_m9cbwp.jpg"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961163/Infinix-Smart-10-b_c1qulg.jpg""]","[""Infinix-Smart-10-Plus_vsqvp8"", ""Infinix-Smart-10-c_m9cbwp"", ""Infinix-Smart-10-b_c1qulg""]","The Infinix Smart 10 is an entry-level smartphone offering a 6.67-inch 120Hz IPS LCD display, the Unisoc T7250 chipset, and up to 6GB of RAM (with virtual RAM expansion) for basic day-to-day use. It comes with a 5000mAh battery, an 8MP AI rear camera, stereo speakers, and IP64 splash resistance, all in a lightweight, budget-friendly package.","{""display"": ""6.67\"" IPS LCD"", ""display_resolution"": ""720 x 1600 px (HD+), 120Hz"", ""processor"": ""Unisoc T7250 (12nm), Octa-core (2x1.8GHz Cortex-A75 + 6x1.6GHz Cortex-A55)"", ""operating_system"": ""Android 15 (XOS 15.1)"", ""rear_camera"": ""8MP + auxiliary lens"", ""front_camera"": ""8MP"", ""battery"": ""5000mAh, 15W wired charging"", ""network"": ""4G"", ""colors"": ""Sleek Black, Titanium Silver, Iris Blue, Twilight Gold""}"
INFINIX SMART 10,infinix-smart-10-4gb-64gb,Infinix,Phone,Smartphone,4GB,64GB,11300,1200,490,0,TRUE,"[""https://res.cloudinary.com/el6nseiu/image/upload/v1785759633/Infinix-Smart-10-Plus_vsqvp8.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961163/Infinix-Smart-10-c_m9cbwp.jpg"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961163/Infinix-Smart-10-b_c1qulg.jpg""]","[""Infinix-Smart-10-Plus_vsqvp8"", ""Infinix-Smart-10-c_m9cbwp"", ""Infinix-Smart-10-b_c1qulg""]","The Infinix Smart 10 is an entry-level smartphone offering a 6.67-inch 120Hz IPS LCD display, the Unisoc T7250 chipset, and up to 6GB of RAM (with virtual RAM expansion) for basic day-to-day use. It comes with a 5000mAh battery, an 8MP AI rear camera, stereo speakers, and IP64 splash resistance, all in a lightweight, budget-friendly package.","{""display"": ""6.67\"" IPS LCD"", ""display_resolution"": ""720 x 1600 px (HD+), 120Hz"", ""processor"": ""Unisoc T7250 (12nm), Octa-core (2x1.8GHz Cortex-A75 + 6x1.6GHz Cortex-A55)"", ""operating_system"": ""Android 15 (XOS 15.1)"", ""rear_camera"": ""8MP + auxiliary lens"", ""front_camera"": ""8MP"", ""battery"": ""5000mAh, 15W wired charging"", ""network"": ""4G"", ""colors"": ""Sleek Black, Titanium Silver, Iris Blue, Twilight Gold""}"
INFINIX HOT 60 PRO PLUS,infinix-hot-60-pro-plus-8gb-128gb,Infinix,Phone,Smartphone,8GB,128GB,24000,2400,945,0,TRUE,"[""https://res.cloudinary.com/el6nseiu/image/upload/v1785759635/Infinix-Hot-60-Pro-Plus_q8l7ul.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961170/Infinix-Hot-60-Pro-Plus-c-1_tsitn4.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961170/Infinix-Hot-60-Pro-Plus-a_pgui15.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961169/Infinix-Hot-60-Pro-Plus_evqpte.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961163/Infinix-Hot-60-Pro-Plus-d_m8dw1b.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961163/Infinix-Hot-60-Pro-Plus_1_zpxavq.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961162/Infinix-Hot-60-Pro-Plus-a_1_qgkckl.webp""]","[""Infinix-Hot-60-Pro-Plus_q8l7ul"", ""Infinix-Hot-60-Pro-Plus-c-1_tsitn4"", ""Infinix-Hot-60-Pro-Plus-a_pgui15"", ""Infinix-Hot-60-Pro-Plus_evqpte"", ""Infinix-Hot-60-Pro-Plus-d_m8dw1b"", ""Infinix-Hot-60-Pro-Plus_1_zpxavq"", ""Infinix-Hot-60-Pro-Plus-a_1_qgkckl""]","Marketed as one of the world's slimmest curved-display phones, the Infinix Hot 60 Pro+ measures around 6-6.8mm thick and weighs roughly 155-162g. It features a 1.5K 144Hz AMOLED curved display, the MediaTek Helio G200 chipset, a 50MP Sony IMX882 camera, and a 5,160mAh battery, all housed in a durable IP65-rated fibreglass-and-glass build.","{""display"": ""6.78\"" AMOLED (3D-curved)"", ""display_resolution"": ""1224 x 2720 px (1.5K), 144Hz"", ""processor"": ""MediaTek Helio G200 (6nm), Octa-core"", ""operating_system"": ""Android 15 (XOS 15.1)"", ""rear_camera"": ""50MP Sony IMX882 (f/1.6) + auxiliary lenses"", ""front_camera"": ""13MP"", ""battery"": ""5160mAh, 45W wired charging"", ""network"": ""4G"", ""colors"": ""Sleek Black, Titanium Silver, Coral Tides, Misty Violet, Sonic Yellow, Moco Cyber Green""}"
INFINIX HOT 60 PRO,infinix-hot-60-pro-8gb-128gb,Infinix,Phone,Smartphone,8GB,128GB,19350,2000,770,0,TRUE,"[""https://res.cloudinary.com/el6nseiu/image/upload/v1785434635/Infinix-Note-60-Pro_ndr6kt.webp"", ""https://res.cloudinary.com/el6nseiu/image/upload/v1785961164/Infinix-Note-60-Pro-5G_v27ui2.webp""]","[""Infinix-Note-60-Pro_ndr6kt"", ""Infinix-Note-60-Pro-5G_v27ui2""]","The Infinix Hot 60 Pro (non-Plus) shares the Hot 60 Pro+ platform with a slimmed-down spec sheet, featuring a large IPS/AMOLED display with up to 120Hz refresh, an octa-core chipset with up to 8GB RAM, and up to 256GB storage. It offers a 50MP main camera, IP-rated splash resistance, and a sizeable battery aimed at budget-conscious buyers who still want a fast-refresh display.","{""display"": ""6.78\"" AMOLED (3D-curved)"", ""display_resolution"": ""1224 x 2720 px (1.5K), 144Hz"", ""processor"": ""MediaTek Helio G200 (6nm), Octa-core"", ""operating_system"": ""Android 15 (XOS 15.1)"", ""rear_camera"": ""50MP (f/1.6) + auxiliary lens"", ""front_camera"": ""13MP"", ""battery"": ""5160mAh, 45W wired charging"", ""network"": ""4G"", ""colors"": ""Sleek Black, Titanium Silver, Coral Tides, Misty Violet, Sonic Yellow, Cyber Green""}"
